Item No.,Discipline,Reference Drawing(s)/Location,Observation/Comments
1,"**[Fire Protection] – Faena - 50% CD - Fire Protection.pdf, Page 1; FP-0_SITE PLAN.pdf, Page 1 – Overall Site Plan / Central Site Plan**  
   Observation","Note “FOR HYDRAULIC REFERENCE ONLY (UG BY OTHERS)” on underground fire line creates ambiguity on responsibility for underground fire service, hydrant piping, valves, thrust blocks, and restraints. Request clear division of scope between fire protection, civil, and utility contractors, and provide interface detail between building FP work and site UG.

2. **[Fire Protection] – Faena","50% CD - Fire Protection.pdf, Page 1 – Site plan near P.O.S. and fire pump test header; FP-01_LEVEL1 - FIRE PROTECTION.pdf, Page 1 – Fire Pump/Service Entry Area**"
3,"**[Fire Protection] – FP-29_FIRE PUMP LOW ZONE.pdf, Page 1 – Enlarged Pump Room Plan; FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf, Page 1 – Enlarged Pump Room Plan; FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf, Page 1 – Enlarged Pump Room Plan**  
   Observation","Fire pump rooms for low and high zones do not show clear floor space dimensions, access paths, or working clearances around pumps, controllers, and valves. Ability to meet NFPA 20 access, egress, and maintenance clearance requirements is unclear; request dimensioned layouts and confirmation of door swings and egress.

4. **[Fire Protection] – FP","29_FIRE PUMP LOW ZONE.pdf, Page 1 – Pump Sections A-A/B-B; FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf, Page 1 – Pump Sections and Isometric View; FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf, Page 1 – Pump Sections and Isometric View**"
5,"**[Fire Protection] – FP-29_FIRE PUMP LOW ZONE.pdf, Page 1 – Power and controllers; FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf, Page 1 – Controllers and power**  
   Observation",Emergency/normal power sources and feeder routing to fire pump controllers are not clearly indicated; transfer arrangements and reliability of power supply per NFPA 20 and NEC are unclear. Request coordinated one,"line or narrative indicating power sources, transfer scheme, and routing."
6,"**[Fire Protection] – FP-29_FIRE PUMP LOW ZONE.pdf, Page 1 – Fire pump room separation; FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf, Page 1 – Room construction**  
   Observation",Fire pump room fire,"resistance rating (walls, ceilings, doors) and separation from adjacent spaces are not labeled. Compliance with NFPA 20 and building code for dedicated fire pump room construction cannot be verified; request identification of required ratings and details of penetrations."
7,"**[Fire Protection] – FP-29_FIRE PUMP LOW ZONE.pdf, Page 1 – Venting/drainage; FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf, Page 1 – Tank and pump room interface; FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf, Page 1 – Tank, vents, and drains**  
   Observation","Floor drain capacity, pump test header drain routing, and discharge locations are not shown. Overflows, vents, and drains from water storage tanks are not fully detailed or coordinated with building drainage. Potential for nuisance flooding or uncontrolled discharge during testing; request complete drain/overflow routing and sizing.

8. **[Fire Protection] – FP","29_FIRE PUMP LOW ZONE.pdf, Page 1 – Seismic/anchorage details; FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf, Page 1 – Structural/anchorage details**"
9,"**[Fire Protection] – FP-30_FIRE PUMP HIGH ZONE TOWER 1.pdf, Page 1; FP-31_FIRE PUMP HIGH ZONE TOWER 2.pdf, Page 1 – Suction piping from storage tank**  
   Observation",Suction piping from storage tanks to high,"zone pumps does not clearly show straight-run lengths, eccentric reducer orientation, or valve arrangements. Potential noncompliance with NFPA 20 suction requirements; request detailed suction layout and confirmation of minimum straight lengths and fitting orientation."
10,"**[Fire Protection] – FP-33_SCHEMATIC HIGH ZONE.pdf, Page 1 – High Zone riser schematics towers 1 & 2; FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf, Page 1 – Vertical riser schematic towers 1 & 2**  
    Observation","High zone and low/garage zone standpipe/sprinkler riser schematics show pressures but omit pipe sizes, materials, and complete routing. Need full riser diagrams with pipe sizes, materials, and vertical/horizontal routing to support sizing, coordination, and constructability.

11. **[Fire Protection] – FP","32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf, Page 1 – Low Zone/garage interface; FP-34_SECTION.pdf, Page 1 – Building Sections A and B at garage and podium levels**"
12,"**[Fire Protection] – FP-32_SCHEMATIC GARAGE ZONE + LOW ZONE.pdf, Page 1 – PRV’S CHART HOSE VALVE; FP-33_SCHEMATIC HIGH ZONE.pdf, Page 1 – PRV’S CHART HOSE VALVE**  
    Observation",PRV hose valve charts list pressures and settings but do not identify floor,"by-floor hose valve locations, stair designations, or PRV model/UL/FM listing and type (pressure-reducing vs. pressure-restricting). Coordination with stair plans and code compliance for PRVs cannot be verified; request complete PRV schedule tied to plan locations."
13,"**[Fire Protection] – FP-33_SCHEMATIC HIGH ZONE.pdf, Page 1 – Interface between high zone and lower zones**  
    Observation","High zone connection to pump discharge and zone control is not fully detailed; valving sequence, check valves, PRVs, and test connections are ambiguous. Request clarified schematic showing component order and function.

14. **[Fire Protection] – FP","33_SCHEMATIC HIGH ZONE.pdf, Page 1 – Roof and EMR levels; FP-26_LEVEL68 - FIRE PROTECTION.pdf, Page 1 – Stair Exits to Roof; FP-28_LEVEL70 - FIRE PROTECTION.pdf, Page 1 – Vertical circulation**"
15,"**[Fire Protection] – FP-34_SECTION.pdf, Page 1 – Overall building section; FP-34_SECTION.pdf, Page 1 – Building Sections A, B, and overall section**  
    Observation","Vertical continuity of standpipes and sprinkler risers is not shown in building sections, and fire","rated shaft enclosures for risers/standpipes are not indicated. Penetrations through rated floor/roof assemblies are not detailed. Request sections showing riser locations, shaft ratings, and penetration protection."
