Item No.,Discipline,Severity,Reference Drawing(s)/Location,Observation/Comments
1,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Fire hydrant and FDC locations are shown but required clear dimensioned distances to building, drive aisles, and obstructions are not provided; ability for fire department apparatus to access and connect is unclear."
2,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Note “FOR HYDRAULIC REFERENCE ONLY (UG BY OTHERS)” leaves responsibility for underground fire service, valve arrangement, and backflow locations ambiguous; coordination of ownership and design scope between FP and civil/plumbing is unclear."
3,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Fire pump test header and related piping are indicated but separation from public ways, vehicle impact protection, and drainage for test flows are not detailed; constructability and code compliance of test header location are unclear."
4,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,Riser room/fire pump room location and access path from exterior (including door identification and rated separation from other occupancies) are not clearly defined on the site plan.
5,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Flow test data is shown but the test location relative to project connection point is not clearly identified on the plan, making hydraulic applicability to the building connection uncertain."
6,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,General notes reference NFPA standards but do not clearly state design density/area criteria and hazard classifications for building occupancies; sprinkler system basis of design is ambiguous at this stage.
7,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"No indication of required fire department access around the building perimeter (fire lanes, turning radii, overhead clearances) is provided; coordination with fire department access requirements is unclear."
8,Fire Protection,Critical,Faena - 50% CD - Fire Protection.pdf,"Potential flood exposure from adjacent river is shown in vicinity graphics, but no indication that hydrants, FDC, or fire pump suction are elevated or protected against flood conditions; compliance with flood-resilience requirements is unclear."
9,Fire Protection,Critical,Faena - 50% CD - Architecture.pdf,"Architectural cover sheet does not list fire-protection-related code information (occupancy classifications, construction type, sprinkler/standpipe requirements); FP design basis and coordination starting point are unclear."
10,Fire Protection,Critical,Faena - 50% CD - Plumbing.pdf,"Plumbing notes and site plan show domestic water and utilities but do not clearly depict the fire service main, backflow, or division of responsibility with FP underground; risk of conflict and missing scope for fire water service."
